"";"Фамилия";"ДатаРазмещения";"стоимость";"Марка";"Категория";"Клиент";"СтранаПолучателя";"СтранаПоставщика";"Цена"
"967";"Акбаев";1998-04-17;4800;"Schoggi Schokolade";"Кондитерские изделия";"Save-a-lot Markets";"США";"Россия";1975,5
"968";"Крылова";1998-04-20;420;"Schoggi Schokolade";"Кондитерские изделия";"Drachenblut Delikatessen";"Германия";"Россия";1975,5
"969";"Новиков";1998-04-29;1800;"Schoggi Schokolade";"Кондитерские изделия";"Ricardo Adocicados";"Бразилия";"Россия";1975,5
"970";"Белова";1998-05-05;569,999999552965;"Schoggi Schokolade";"Кондитерские изделия";"LILA-Supermercado";"Венесуэлла";"Россия";1975,5
"971";"Белова";1998-05-06;240;"Schoggi Schokolade";"Кондитерские изделия";"Rattlesnake Canyon Grocery";"США";"Россия";1975,5
"972";"Бабкина";1996-07-08;957,599999248981;"Scottish Longbreads";"Кондитерские изделия";"Victuailles en stock";"Франция";"Великобритания";562,5
"973";"Крылова";1997-02-04;2016;"Scottish Longbreads";"Кондитерские изделия";"Consolidated Holdings";"Великобритания";"Великобритания";562,5
"974";"Новиков";1997-05-30;5040;"Scottish Longbreads";"Кондитерские изделия";"Wartian Herkku";"Финляндия";"Великобритания";562,5
"975";"Крылова";1997-07-18;10080;"Scottish Longbreads";"Кондитерские изделия";"Save-a-lot Markets";"США";"Великобритания";562,5
"976";"Бабкина";1997-08-04;8400;"Scottish Longbreads";"Кондитерские изделия";"Mere Paillarde";"Канада";"Великобритания";562,5
"977";"Крылова";1997-08-18;8400;"Scottish Longbreads";"Кондитерские изделия";"Magazzini Alimentari Riuniti";"Италия";"Великобритания";562,5
"978";"Кротов";1997-08-28;3150;"Scottish Longbreads";"Кондитерские изделия";"Ricardo Adocicados";"Бразилия";"Великобритания";562,5
"979";"Крылова";1997-09-01;3150;"Scottish Longbreads";"Кондитерские изделия";"Die Wandernde Kuh";"Германия";"Великобритания";562,5
"980";"Крылова";1997-10-03;11250;"Scottish Longbreads";"Кондитерские изделия";"Maison Dewey";"Бельгия";"Великобритания";562,5
"981";"Бабкина";1997-12-03;1260;"Scottish Longbreads";"Кондитерские изделия";"Folies gourmandes";"Франция";"Великобритания";562,5
"982";"Бабкина";1997-12-08;840;"Scottish Longbreads";"Кондитерские изделия";"Around the Horn";"Великобритания";"Великобритания";562,5
"983";"Кралев";1998-01-16;10920;"Scottish Longbreads";"Кондитерские изделия";"Ernst Handel";"Австрия";"Великобритания";562,5
"984";"Крылова";1998-01-21;7350;"Scottish Longbreads";"Кондитерские изделия";"Piccolo und mehr";"Австрия";"Великобритания";562,5
"985";"Воронова";1998-03-11;4410;"Scottish Longbreads";"Кондитерские изделия";"B's Beverages";"Великобритания";"Великобритания";562,5
"986";"Новиков";1998-04-06;5250;"Scottish Longbreads";"Кондитерские изделия";"Folk och fa HB";"Швеция";"Великобритания";562,5
"987";"Воронова";1997-01-03;6068,99995744228;"Zaanse koeken";"Кондитерские изделия";"Ernst Handel";"Австрия";"Нидерланды";427,5
"988";"Белова";1997-02-21;1376,99999772012;"Zaanse koeken";"Кондитерские изделия";"Around the Horn";"Великобритания";"Нидерланды";427,5
"989";"Кралев";1997-04-15;1625,62498860061;"Zaanse koeken";"Кондитерские изделия";"Antonio Moreno Taqueria";"Мексика";"Нидерланды";427,5
"990";"Белова";1997-07-18;688,499998860061;"Zaanse koeken";"Кондитерские изделия";"Furia Bacalhau e Frutos do Mar";"Португалия";"Нидерланды";427,5
"991";"Акбаев";1997-10-14;3060;"Zaanse koeken";"Кондитерские изделия";"Queen Cozinha";"Бразилия";"Нидерланды";427,5
"992";"Бабкина";1998-01-05;866,999993920326;"Zaanse koeken";"Кондитерские изделия";"Victuailles en stock";"Франция";"Нидерланды";427,5
"993";"Бабкина";1996-07-10;6400;"Chocolade";"Кондитерские изделия";"Hanari Carnes";"Бразилия";"Великобритания";573,75
"994";"Крылова";1996-08-27;2400;"Chocolade";"Кондитерские изделия";"Comercio Mineiro";"Бразилия";"Великобритания";573,75
"995";"Белова";1996-09-12;4800;"Chocolade";"Кондитерские изделия";"Tortuga Restaurante";"Мексика";"Великобритания";573,75
"996";"Воронова";1996-11-22;5600;"Chocolade";"Кондитерские изделия";"Blondel pere et fils";"Франция";"Великобритания";573,75
"997";"Белова";1997-01-01;4800;"Chocolade";"Кондитерские изделия";"Eastern Connection";"Великобритания";"Великобритания";573,75
"998";"Новиков";1997-01-03;4559,99999642372;"Chocolade";"Кондитерские изделия";"Magazzini Alimentari Riuniti";"Италия";"Великобритания";573,75
"999";"Крылова";1997-02-25;2855,99997997284;"Chocolade";"Кондитерские изделия";"Koniglich Essen";"Германия";"Великобритания";573,75
"1000";"Крылова";1997-03-20;3840;"Chocolade";"Кондитерские изделия";"Ricardo Adocicados";"Бразилия";"Великобритания";573,75
"1001";"Воронова";1997-04-08;5000;"Chocolade";"Кондитерские изделия";"LILA-Supermercado";"Венесуэлла";"Великобритания";573,75
"1002";"Акбаев";1997-05-16;1200;"Chocolade";"Кондитерские изделия";"B's Beverages";"Великобритания";"Великобритания";573,75
"1003";"Крылова";1997-07-18;4749,99999627471;"Chocolade";"Кондитерские изделия";"Save-a-lot Markets";"США";"Великобритания";573,75
"1004";"Белова";1997-07-28;3600;"Chocolade";"Кондитерские изделия";"Save-a-lot Markets";"США";"Великобритания";573,75
"1005";"Акбаев";1997-12-30;679,999995231628;"Chocolade";"Кондитерские изделия";"Seven Seas Imports";"Великобритания";"Великобритания";573,75
"1006";"Кралев";1998-02-04;7559,99998748302;"Chocolade";"Кондитерские изделия";"Queen Cozinha";"Бразилия";"Великобритания";573,75
"1007";"Воронова";1998-02-06;3000;"Chocolade";"Кондитерские изделия";"Berglunds snabbkop";"Швеция";"Великобритания";573,75
"1008";"Воронова";1998-02-11;3399,99997615814;"Chocolade";"Кондитерские изделия";"Save-a-lot Markets";"США";"Великобритания";573,75
"1009";"Белова";1998-02-26;2000;"Chocolade";"Кондитерские изделия";"Wilman Kala";"Финляндия";"Великобритания";573,75
"1010";"Ясенева";1998-03-11;5600;"Chocolade";"Кондитерские изделия";"Reggiani Caseifici";"Италия";"Великобритания";573,75
"1011";"Новиков";1998-03-23;8000;"Chocolade";"Кондитерские изделия";"Toms Spezialitaten";"Германия";"Великобритания";573,75
"1012";"Акбаев";1998-04-13;400;"Chocolade";"Кондитерские изделия";"Rancho grande";"Аргентина";"Великобритания";573,75
"1013";"Белова";1998-04-21;12000;"Chocolade";"Кондитерские изделия";"LINO-Delicateses";"Венесуэлла";"Великобритания";573,75
"1014";"Акбаев";1996-11-11;1754,99999709427;"Maxilaku";"Кондитерские изделия";"La maison d'Asie";"Франция";"Финляндия";900
"1015";"Воронова";1996-12-16;1950;"Maxilaku";"Кондитерские изделия";"Around the Horn";"Великобритания";"Финляндия";900
"1016";"Бабкина";1997-01-29;5200;"Maxilaku";"Кондитерские изделия";"Hungry Owl All-Night Grocers";"Ирландия";"Финляндия";900
"1017";"Белова";1997-03-05;3250;"Maxilaku";"Кондитерские изделия";"Vaffeljernet";"Дания";"Финляндия";900
"1018";"Акбаев";1997-08-19;3859,3749969732;"Maxilaku";"Кондитерские изделия";"Queen Cozinha";"Бразилия";"Финляндия";900
"1019";"Крылова";1997-11-04;6500;"Maxilaku";"Кондитерские изделия";"LINO-Delicateses";"Венесуэлла";"Финляндия";900
"1020";"Бабкина";1997-11-24;2924,99999515712;"Maxilaku";"Кондитерские изделия";"Richter Supermarkt";"Швейцария";"Финляндия";900
"1021";"Воронова";1998-03-03;3900;"Maxilaku";"Кондитерские изделия";"Around the Horn";"Великобритания";"Финляндия";900
"1022";"Бабкина";1998-03-13;1462,5;"Maxilaku";"Кондитерские изделия";"Godos Cocina Tipica";"Испания";"Финляндия";900
"1023";"Воронова";1998-05-05;3575;"Maxilaku";"Кондитерские изделия";"Ernst Handel";"Австрия";"Финляндия";900
"1024";"Акбаев";1996-07-05;16960;"Valkoinen suklaa";"Кондитерские изделия";"Toms Spezialitaten";"Германия";"Финляндия";731,25
"1025";"Акбаев";1996-08-27;763,199998736382;"Valkoinen suklaa";"Кондитерские изделия";"Que Delicia";"Бразилия";"Финляндия";731,25
"1026";"Кралев";1996-10-22;16281,5999393463;"Valkoinen suklaa";"Кондитерские изделия";"Hungry Owl All-Night Grocers";"Ирландия";"Финляндия";731,25
"1027";"Крылова";1996-11-25;8480;"Valkoinen suklaa";"Кондитерские изделия";"Bon app'";"Франция";"Финляндия";731,25
"1028";"Кротов";1996-12-27;6487,19995450974;"Valkoinen suklaa";"Кондитерские изделия";"Princesa Isabel Vinhos";"Португалия";"Финляндия";731,25
"1029";"Крылова";1997-03-12;7632;"Valkoinen suklaa";"Кондитерские изделия";"Seven Seas Imports";"Великобритания";"Финляндия";731,25
"1030";"Бабкина";1997-03-24;1272;"Valkoinen suklaa";"Кондитерские изделия";"B's Beverages";"Великобритания";"Финляндия";731,25
"1031";"Белова";1997-03-26;10600;"Valkoinen suklaa";"Кондитерские изделия";"HILARION-Abastos";"Венесуэлла";"Финляндия";731,25
"1032";"Белова";1997-05-14;3180;"Valkoinen suklaa";"Кондитерские изделия";"Richter Supermarkt";"Швейцария";"Финляндия";731,25
"1033";"Кротов";1997-05-27;21623,9998483658;"Valkoinen suklaa";"Кондитерские изделия";"QUICK-Stop";"Германия";"Финляндия";731,25
"1034";"Акбаев";1997-06-02;8479,99996840954;"Valkoinen suklaa";"Кондитерские изделия";"Save-a-lot Markets";"США";"Финляндия";731,25
"1035";"Белова";1997-06-04;10600;"Valkoinen suklaa";"Кондитерские изделия";"Around the Horn";"Великобритания";"Финляндия";731,25
"1036";"Новиков";1997-06-06;26500;"Valkoinen suklaa";"Кондитерские изделия";"Folk och fa HB";"Швеция";"Финляндия";731,25
"1037";"Белова";1997-06-12;1590;"Valkoinen suklaa";"Кондитерские изделия";"Hungry Owl All-Night Grocers";"Ирландия";"Финляндия";731,25
"1038";"Воронова";1997-08-15;7950;"Valkoinen suklaa";"Кондитерские изделия";"Folies gourmandes";"Франция";"Финляндия";731,25
"1039";"Новиков";1997-09-10;10069,9999921024;"Valkoinen suklaa";"Кондитерские изделия";"Bon app'";"Франция";"Финляндия";731,25
"1040";"Белова";1997-09-11;10600;"Valkoinen suklaa";"Кондитерские изделия";"Lonesome Pine Restaurant";"США";"Финляндия";731,25
"1041";"Белова";1997-10-17;14840;"Valkoinen suklaa";"Кондитерские изделия";"Gourmet Lanchonetes";"Бразилия";"Финляндия";731,25
"1042";"Воронова";1997-10-24;3710;"Valkoinen suklaa";"Кондитерские изделия";"Rancho grande";"Аргентина";"Финляндия";731,25
"1043";"Кралев";1997-11-06;15104,9999881536;"Valkoinen suklaa";"Кондитерские изделия";"Chop-suey Chinese";"Швейцария";"Финляндия";731,25
"1044";"Бабкина";1997-12-02;14840;"Valkoinen suklaa";"Кондитерские изделия";"Folk och fa HB";"Швеция";"Финляндия";731,25
"1045";"Белова";1997-12-15;60419,9999526143;"Valkoinen suklaa";"Кондитерские изделия";"Ernst Handel";"Австрия";"Финляндия";731,25
"1046";"Белова";1997-12-26;4769,99999210238;"Valkoinen suklaa";"Кондитерские изделия";"Seven Seas Imports";"Великобритания";"Финляндия";731,25
"1047";"Воронова";1997-12-29;11925;"Valkoinen suklaa";"Кондитерские изделия";"Simons bistro";"Дания";"Финляндия";731,25
"1048";"Белова";1998-01-08;3180;"Valkoinen suklaa";"Кондитерские изделия";"Split Rail Beer & Ale";"США";"Финляндия";731,25
"1049";"Воронова";1998-01-21;1590;"Valkoinen suklaa";"Кондитерские изделия";"Victuailles en stock";"Франция";"Финляндия";731,25
"1050";"Бабкина";1998-01-29;1590;"Valkoinen suklaa";"Кондитерские изделия";"France restauration";"Франция";"Финляндия";731,25
"1051";"Кротов";1998-02-04;1060;"Valkoinen suklaa";"Кондитерские изделия";"Wolski  Zajazd";"Польша";"Финляндия";731,25
"1052";"Бабкина";1998-03-13;21200;"Valkoinen suklaa";"Кондитерские изделия";"Godos Cocina Tipica";"Испания";"Финляндия";731,25
"1053";"Акбаев";1998-03-17;4240;"Valkoinen suklaa";"Кондитерские изделия";"Blauer See Delikatessen";"Германия";"Финляндия";731,25
"1054";"Акбаев";1998-03-20;8480;"Valkoinen suklaa";"Кондитерские изделия";"Old World Delicatessen";"США";"Финляндия";731,25
"1055";"Крылова";1998-03-26;5300;"Valkoinen suklaa";"Кондитерские изделия";"Folk och fa HB";"Швеция";"Финляндия";731,25
"1056";"Белова";1998-04-02;10600;"Valkoinen suklaa";"Кондитерские изделия";"Pericles Comidas clasicas";"Мексика";"Финляндия";731,25
"1057";"Акбаев";1998-04-03;7552,49999407679;"Valkoinen suklaa";"Кондитерские изделия";"Ottilies Kaseladen";"Германия";"Финляндия";731,25
"1058";"Бабкина";1998-04-14;17490;"Valkoinen suklaa";"Кондитерские изделия";"QUICK-Stop";"Германия";"Финляндия";731,25
"1059";"Воронова";1998-04-15;5300;"Valkoinen suklaa";"Кондитерские изделия";"Franchi S.p.A.";"Италия";"Финляндия";731,25
"1060";"Акбаев";1998-04-23;12720;"Valkoinen suklaa";"Кондитерские изделия";"Bottom-Dollar Markets";"Канада";"Финляндия";731,25
"1061";"Кралев";1998-04-28;10600;"Valkoinen suklaa";"Кондитерские изделия";"HILARION-Abastos";"Венесуэлла";"Финляндия";731,25
"1062";"Крылова";1996-08-12;2808;"Tarte au sucre";"Кондитерские изделия";"Berglunds snabbkop";"Швеция";"Канада";2218,5
"1063";"Белова";1996-08-29;1755;"Tarte au sucre";"Кондитерские изделия";"Tortuga Restaurante";"Мексика";"Канада";2218,5
"1064";"Ясенева";1996-10-08;23867,9998326302;"Tarte au sucre";"Кондитерские изделия";"Save-a-lot Markets";"США";"Канада";2218,5
"1065";"Новиков";1996-12-11;5054,39999163151;"Tarte au sucre";"Кондитерские изделия";"Que Delicia";"Бразилия";"Канада";2218,5
"1066";"Крылова";1997-01-02;22815;"Tarte au sucre";"Кондитерские изделия";"Ernst Handel";"Австрия";"Канада";2218,5
"1067";"Бабкина";1997-01-29;9213,75;"Tarte au sucre";"Кондитерские изделия";"Hungry Owl All-Night Grocers";"Ирландия";"Канада";2218,5
"1068";"Кротов";1997-06-20;2634;"Tarte au sucre";"Кондитерские изделия";"Morgenstern Gesundkost";"Германия";"Канада";2218,5
"1069";"Крылова";1997-07-11;8428,79996860027;"Tarte au sucre";"Кондитерские изделия";"White Clover Markets";"США";"Канада";2218,5
"1070";"Акбаев";1997-11-19;3951;"Tarte au sucre";"Кондитерские изделия";"Piccolo und mehr";"Австрия";"Канада";2218,5
"1071";"Белова";1997-12-22;13170;"Tarte au sucre";"Кондитерские изделия";"Folies gourmandes";"Франция";"Канада";2218,5
"1072";"Белова";1998-03-03;17560;"Tarte au sucre";"Кондитерские изделия";"Vaffeljernet";"Дания";"Канада";2218,5
"1073";"Бабкина";1998-03-25;4390;"Tarte au sucre";"Кондитерские изделия";"Split Rail Beer & Ale";"США";"Канада";2218,5
"1074";"Крылова";1998-03-26;8780;"Tarte au sucre";"Кондитерские изделия";"Folk och fa HB";"Швеция";"Канада";2218,5
"1075";"Крылова";1998-03-26;15365;"Tarte au sucre";"Кондитерские изделия";"Ernst Handel";"Австрия";"Канада";2218,5
"1076";"Воронова";1998-04-16;5268;"Tarte au sucre";"Кондитерские изделия";"Chop-suey Chinese";"Швейцария";"Канада";2218,5
"1077";"Бабкина";1998-04-22;13170;"Tarte au sucre";"Кондитерские изделия";"Chop-suey Chinese";"Швейцария";"Канада";2218,5
"1078";"Воронова";1996-10-24;2880;"Gudbrandsdalsost";"Молочные продукты";"Frankenversand";"Германия";"Норвегия";1620
"1079";"Воронова";1996-11-07;1800;"Gudbrandsdalsost";"Молочные продукты";"Die Wandernde Kuh";"Германия";"Норвегия";1620
"1080";"Белова";1996-12-27;2880;"Gudbrandsdalsost";"Молочные продукты";"Frankenversand";"Германия";"Норвегия";1620
"1081";"Крылова";1997-01-02;4320;"Gudbrandsdalsost";"Молочные продукты";"Ernst Handel";"Австрия";"Норвегия";1620
"1082";"Новиков";1997-03-03;1512;"Gudbrandsdalsost";"Молочные продукты";"Consolidated Holdings";"Великобритания";"Норвегия";1620
"1083";"Воронова";1997-03-11;1080;"Gudbrandsdalsost";"Молочные продукты";"Bon app'";"Франция";"Норвегия";1620
"1084";"Бабкина";1997-04-03;720;"Gudbrandsdalsost";"Молочные продукты";"Laughing Bacchus Wine Cellars";"Канада";"Норвегия";1620
"1085";"Крылова";1997-05-21;5354,99996244907;"Gudbrandsdalsost";"Молочные продукты";"LILA-Supermercado";"Венесуэлла";"Норвегия";1620
"1086";"Воронова";1997-05-30;1709,9999986589;"Gudbrandsdalsost";"Молочные продукты";"Ottilies Kaseladen";"Германия";"Норвегия";1620
"1087";"Воронова";1997-08-05;900;"Gudbrandsdalsost";"Молочные продукты";"Island Trading";"Великобритания";"Норвегия";1620
"1088";"Воронова";1997-09-16;2880;"Gudbrandsdalsost";"Молочные продукты";"Frankenversand";"Германия";"Норвегия";1620
"1089";"Воронова";1997-09-18;450;"Gudbrandsdalsost";"Молочные продукты";"Island Trading";"Великобритания";"Норвегия";1620
"1090";"Крылова";1997-10-03;16200;"Gudbrandsdalsost";"Молочные продукты";"Maison Dewey";"Бельгия";"Норвегия";1620
"1091";"Бабкина";1997-11-20;3960;"Gudbrandsdalsost";"Молочные продукты";"Save-a-lot Markets";"США";"Норвегия";1620
"1092";"Крылова";1998-01-02;1620;"Gudbrandsdalsost";"Молочные продукты";"LINO-Delicateses";"Венесуэлла";"Норвегия";1620
"1093";"Крылова";1998-01-21;5669,99999061227;"Gudbrandsdalsost";"Молочные продукты";"QUICK-Stop";"Германия";"Норвегия";1620
"1094";"Кротов";1998-02-04;4500;"Gudbrandsdalsost";"Молочные продукты";"Seven Seas Imports";"Великобритания";"Норвегия";1620
"1095";"Кралев";1998-02-10;2159,99999195337;"Gudbrandsdalsost";"Молочные продукты";"Folk och fa HB";"Швеция";"Норвегия";1620
"1096";"Воронова";1998-03-09;540;"Gudbrandsdalsost";"Молочные продукты";"Wellington Importadora";"Бразилия";"Норвегия";1620
"1097";"Новиков";1998-04-09;900;"Gudbrandsdalsost";"Молочные продукты";"Romero y tomillo";"Испания";"Норвегия";1620
"1098";"Белова";1998-05-06;180;"Gudbrandsdalsost";"Молочные продукты";"Rattlesnake Canyon Grocery";"США";"Норвегия";1620
"1099";"Воронова";1996-10-07;448;"Flotemysost";"Молочные продукты";"Koniglich Essen";"Германия";"Норвегия";967,5
"1100";"Воронова";1996-11-06;1120;"Flotemysost";"Молочные продукты";"Familia Arquibaldo";"Бразилия";"Норвегия";967,5
"1101";"Крылова";1996-11-25;5600;"Flotemysost";"Молочные продукты";"Bon app'";"Франция";"Норвегия";967,5
"1102";"Белова";1996-12-25;588;"Flotemysost";"Молочные продукты";"Save-a-lot Markets";"США";"Норвегия";967,5
"1103";"Крылова";1997-03-06;1344;"Flotemysost";"Молочные продукты";"Magazzini Alimentari Riuniti";"Италия";"Норвегия";967,5
"1104";"Бабкина";1997-04-01;6383,99999499321;"Flotemysost";"Молочные продукты";"Bottom-Dollar Markets";"Канада";"Норвегия";967,5
"1105";"Ясенева";1997-04-15;2267,99999624491;"Flotemysost";"Молочные продукты";"Koniglich Essen";"Германия";"Норвегия";967,5
"1106";"Воронова";1997-12-01;1260;"Flotemysost";"Молочные продукты";"Maison Dewey";"Бельгия";"Норвегия";967,5
"1107";"Кротов";1997-12-02;3675;"Flotemysost";"Молочные продукты";"Rattlesnake Canyon Grocery";"США";"Норвегия";967,5
"1108";"Воронова";1997-12-30;1994,99999843538;"Flotemysost";"Молочные продукты";"Wellington Importadora";"Бразилия";"Норвегия";967,5
"1109";"Новиков";1998-01-01;700;"Flotemysost";"Молочные продукты";"Laughing Bacchus Wine Cellars";"Канада";"Норвегия";967,5
"1110";"Новиков";1998-01-14;1119,99999582767;"Flotemysost";"Молочные продукты";"La maison d'Asie";"Франция";"Норвегия";967,5
"1111";"Воронова";1998-01-19;671,999997496605;"Flotemysost";"Молочные продукты";"LINO-Delicateses";"Венесуэлла";"Норвегия";967,5
"1112";"Белова";1998-01-23;2379,9999833107;"Flotemysost";"Молочные продукты";"Victuailles en stock";"Франция";"Норвегия";967,5
"1113";"Кротов";1998-01-26;1329,99999895692;"Flotemysost";"Молочные продукты";"Ricardo Adocicados";"Бразилия";"Норвегия";967,5
"1114";"Крылова";1998-02-13;700;"Flotemysost";"Молочные продукты";"Galeria del gastrуnomo";"Испания";"Норвегия";967,5
"1115";"Новиков";1998-03-02;3360;"Flotemysost";"Молочные продукты";"LINO-Delicateses";"Венесуэлла";"Норвегия";967,5
"1116";"Кралев";1998-04-28;2100;"Flotemysost";"Молочные продукты";"HILARION-Abastos";"Венесуэлла";"Норвегия";967,5
"1117";"Бабкина";1996-10-16;10582,4999257922;"Mozzarella di Giovanni";"Молочные продукты";"LILA-Supermercado";"Венесуэлла";"Италия";1566
"1118";"Воронова";1996-10-24;5976;"Mozzarella di Giovanni";"Молочные продукты";"Frankenversand";"Германия";"Италия";1566
"1119";"Белова";1996-11-19;3984;"Mozzarella di Giovanni";"Молочные продукты";"LILA-Supermercado";"Венесуэлла";"Италия";1566
"1120";"Белова";1996-12-25;13072,5;"Mozzarella di Giovanni";"Молочные продукты";"Save-a-lot Markets";"США";"Италия";1566
"1121";"Новиков";1997-01-03;7096,49999443442;"Mozzarella di Giovanni";"Молочные продукты";"Magazzini Alimentari Riuniti";"Италия";"Италия";1566
"1122";"Крылова";1997-01-21;7470;"Mozzarella di Giovanni";"Молочные продукты";"Que Delicia";"Бразилия";"Италия";1566
"1123";"Новиков";1997-01-22;498;"Mozzarella di Giovanni";"Молочные продукты";"Franchi S.p.A.";"Италия";"Италия";1566
"1124";"Бабкина";1997-01-31;2490;"Mozzarella di Giovanni";"Молочные продукты";"Split Rail Beer & Ale";"США";"Италия";1566
"1125";"Бабкина";1997-02-12;3735;"Mozzarella di Giovanni";"Молочные продукты";"Berglunds snabbkop";"Швеция";"Италия";1566
"1126";"Воронова";1997-02-17;1494;"Mozzarella di Giovanni";"Молочные продукты";"Rancho grande";"Аргентина";"Италия";1566
"1127";"Кралев";1997-02-26;7470;"Mozzarella di Giovanni";"Молочные продукты";"Supremes delices";"Бельгия";"Италия";1566
"1128";"Новиков";1997-03-26;7470;"Mozzarella di Giovanni";"Молочные продукты";"Queen Cozinha";"Бразилия";"Италия";1566
"1129";"Бабкина";1997-05-19;12492;"Mozzarella di Giovanni";"Молочные продукты";"QUICK-Stop";"Германия";"Италия";1566
"1130";"Белова";1997-07-02;1873,8;"Mozzarella di Giovanni";"Молочные продукты";"Que Delicia";"Бразилия";"Италия";1566
"1131";"Бабкина";1997-07-08;1483,42499883659;"Mozzarella di Giovanni";"Молочные продукты";"Lehmanns Marktstand";"Германия";"Италия";1566
"1132";"Кралев";1997-08-15;9290,92493484914;"Mozzarella di Giovanni";"Молочные продукты";"Ernst Handel";"Австрия";"Италия";1566
"1133";"Кралев";1997-09-22;7963,64994415641;"Mozzarella di Giovanni";"Молочные продукты";"Antonio Moreno Taqueria";"Мексика";"Италия";1566
"1134";"Новиков";1997-09-30;4684,5;"Mozzarella di Giovanni";"Молочные продукты";"Piccolo und mehr";"Австрия";"Италия";1566
"1135";"Белова";1997-10-22;9369;"Mozzarella di Giovanni";"Молочные продукты";"Save-a-lot Markets";"США";"Италия";1566
"1136";"Бабкина";1997-10-30;4684,5;"Mozzarella di Giovanni";"Молочные продукты";"White Clover Markets";"США";"Италия";1566
"1137";"Бабкина";1997-11-24;3372,83999441564;"Mozzarella di Giovanni";"Молочные продукты";"Richter Supermarkt";"Швейцария";"Италия";1566
"1138";"Бабкина";1997-11-28;6246;"Mozzarella di Giovanni";"Молочные продукты";"Richter Supermarkt";"Швейцария";"Италия";1566
"1139";"Бабкина";1997-12-25;5246,63998045474;"Mozzarella di Giovanni";"Молочные продукты";"HILARION-Abastos";"Венесуэлла";"Италия";1566
"1140";"Бабкина";1998-01-06;10618,1999255419;"Mozzarella di Giovanni";"Молочные продукты";"Koniglich Essen";"Германия";"Италия";1566
"1141";"Белова";1998-01-09;3747,6;"Mozzarella di Giovanni";"Молочные продукты";"Drachenblut Delikatessen";"Германия";"Италия";1566
"1142";"Ясенева";1998-01-23;4778,18996649384;"Mozzarella di Giovanni";"Молочные продукты";"Koniglich Essen";"Германия";"Италия";1566
"1143";"Крылова";1998-01-28;8197,875;"Mozzarella di Giovanni";"Молочные продукты";"Berglunds snabbkop";"Швеция";"Италия";1566
"1144";"Кралев";1998-02-04;6246;"Mozzarella di Giovanni";"Молочные продукты";"Queen Cozinha";"Бразилия";"Италия";1566
"1145";"Акбаев";1998-03-24;1561,5;"Mozzarella di Giovanni";"Молочные продукты";"La corne d'abondance";"Франция";"Италия";1566
"1146";"Бабкина";1998-04-07;1873,8;"Mozzarella di Giovanni";"Молочные продукты";"Maison Dewey";"Бельгия";"Италия";1566
"1147";"Бабкина";1998-04-14;19674,9;"Mozzarella di Giovanni";"Молочные продукты";"QUICK-Stop";"Германия";"Италия";1566
"1148";"Воронова";1998-04-15;3747,6;"Mozzarella di Giovanni";"Молочные продукты";"Eastern Connection";"Великобритания";"Италия";1566
"1149";"Белова";1996-07-17;1228,79999542236;"Gorgonzola Telino";"Молочные продукты";"Ernst Handel";"Австрия";"Италия";562,5
"1150";"Белова";1996-09-25;9215,99998474121;"Gorgonzola Telino";"Молочные продукты";"Rattlesnake Canyon Grocery";"США";"Италия";562,5
"1151";"Кралев";1996-10-22;1228,79999542236;"Gorgonzola Telino";"Молочные продукты";"Hungry Owl All-Night Grocers";"Ирландия";"Италия";562,5
"1152";"Кралев";1997-04-22;12799,9999523163;"Gorgonzola Telino";"Молочные продукты";"Die Wandernde Kuh";"Германия";"Италия";562,5
"1153";"Бабкина";1997-05-23;6527,99995422363;"Gorgonzola Telino";"Молочные продукты";"Seven Seas Imports";"Великобритания";"Италия";562,5
"1154";"Бабкина";1997-06-18;2879,99999523163;"Gorgonzola Telino";"Молочные продукты";"Berglunds snabbkop";"Швеция";"Италия";562,5
"1155";"Ясенева";1997-10-15;1280;"Gorgonzola Telino";"Молочные продукты";"HILARION-Abastos";"Венесуэлла";"Италия";562,5
"1156";"Бабкина";1997-11-28;3200;"Gorgonzola Telino";"Молочные продукты";"Ana Trujillo Emparelados";"Мексика";"Италия";562,5
"1157";"Кралев";1998-01-07;6400;"Gorgonzola Telino";"Молочные продукты";"Magazzini Alimentari Riuniti";"Италия";"Италия";562,5
"1158";"Белова";1998-02-27;1920;"Gorgonzola Telino";"Молочные продукты";"Rancho grande";"Аргентина";"Италия";562,5
"1159";"Новиков";1998-03-30;10079,9999833107;"Gorgonzola Telino";"Молочные продукты";"Hungry Owl All-Night Grocers";"Ирландия";"Италия";562,5
"1160";"Крылова";1998-04-03;16000;"Gorgonzola Telino";"Молочные продукты";"LILA-Supermercado";"Венесуэлла";"Италия";562,5
"1161";"Крылова";1998-04-23;4559,99999642372;"Gorgonzola Telino";"Молочные продукты";"Die Wandernde Kuh";"Германия";"Италия";562,5
"1162";"Новиков";1998-04-27;6400;"Gorgonzola Telino";"Молочные продукты";"Piccolo und mehr";"Австрия";"Италия";562,5
"1163";"Белова";1998-05-06;320;"Gorgonzola Telino";"Молочные продукты";"Rattlesnake Canyon Grocery";"США";"Италия";562,5
"1164";"Воронова";1996-07-09;474,999999627471;"Mascarpone Fabioli";"Молочные продукты";"Supremes delices";"Бельгия";"Италия";1440
"1165";"Кротов";1996-07-31;1139,99999910593;"Mascarpone Fabioli";"Молочные продукты";"White Clover Markets";"США";"Италия";1440
